Item Number,Description,Vendor,Category,Buyer,Planner,Item Type,Serialized (Y/N),Price,Unit of Measure,Manufacturers Part Number (MPN),Vendor,Vendor Part Number,Lead Time (Calendar Days),Handling Time (Logistics LT),Safety Stock,Minimum Order Quantity,Quantity per Carton,Cartons per Pallet,Carton Length,Carton Width,Carton Height,Carton Weight,Carton Dimensional Weight,ECCN,HTS,Costing Method,FA Type,Asset Account,GPU (Y/N),GPU Type,CPU Type,GPU Chip Count,GPU Core Count,RAM (Bytes),Local SSD (Y/N),SSD (Bytes),Local Disk (Y/N),Disk (Bytes),Network Interface Card (NIC) Count,Max Power Consumption (Watts)
String,String,String,List,,,List,List,Currency,List,String,List,String,Number,,Number,Number,,,,,,,,,,List,List,List,Boolean,String,String,Number,Number,Number,Boolean,Number,Boolean,Number,Number,Number
Mandatory,,Mandatory,Mandatory,,,,Mandatory,,Mandatory,Mandatory,,,Mandatory,,,,,,,,,,,,,Mandatory,,Mandatory,,,,,,,,,,,,
NXC-OM4-12-A-MMU-MMA-1-REF,"NXC-OM4-12-A-MMU-MMA-1-REF
 
 NEXCONEC MINI FIBRE SUPER ELITE MTP(M)/UPC-SUPER ELITE
 
 MTP(M)/APC 12F OM4 LSZH CPR CCA 3MM POLARITY A REFERENCE
 
 GRADE, 1 METRE",Networks Centre BV,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,€219.04,Eaches,NXC-OM4-12-A-MMU-MMA-1-REF,Networks Centre BV,NXC-OM4-12-A-MMU-MMA-1-REF,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
"NXC-AD-MTP-SC
 
 NEXCONEC","NEXCONEC MTP USCONEC ADAPTOR, KEY UP/KEY DOWN - MPO FOOTPRINT - NO FLANGE REQUIRED",Networks Centre BV,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,€20.39,Eaches,"NXC-AD-MTP-SC
 
 NEXCONEC",Networks Centre BV,"NXC-AD-MTP-SC
 
 NEXCONEC",,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
NXC-OM4-12-A-MMU-MMA-1-REF,"NEXCONEC MINI FIBRE SUPER ELITE MTP(M)/UPC-SUPER ELITE MTP(M)/APC 12F OM4 LSZH CPR CCA 3MM POLARITY A REFERENCE GRADE, 1 METRE",Networks Centre BV,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,€219.04,Eaches,NXC-OM4-12-A-MMU-MMA-1-REF,Networks Centre BV,NXC-OM4-12-A-MMU-MMA-1-REF,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
"NXC-AD-MTP-SC
 
 NEXCONEC","NEXCONEC MTP USCONEC ADAPTOR, KEY UP/KEY DOWN - MPO FOOTPRINT - NO FLANGE REQUIRED",Networks Centre BV,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,€20.39,Eaches,"NXC-AD-MTP-SC
 
 NEXCONEC",Networks Centre BV,"NXC-AD-MTP-SC
 
 NEXCONEC",,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
NXC-OM4-12-A-MMU-MMA-1-REF,"NEXCONEC MINI FIBRE SUPER ELITE MTP(M)/UPC-SUPER ELITE MTP(M)/APC 12F OM4 LSZH CPR CCA 3MM POLARITY A REFERENCE GRADE, 1 METRE",Networks Centre BV,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,€220.23,Eaches,NXC-OM4-12-A-MMU-MMA-1-REF,Networks Centre BV,NXC-OM4-12-A-MMU-MMA-1-REF,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
NXC-OM4-12-A-MMU-MMA-1-REF,"NEXCONEC MINI FIBRE SUPER ELITE MTP(M)/UPC-SUPER ELITE MTP(M)/APC 12F OM4 LSZH CPR CCA 3MM POLARITY A REFERENCE GRADE, 1 METRE",Networks Centre BV,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,€220.23,Eaches,NXC-OM4-12-A-MMU-MMA-1-REF,Networks Centre BV,NXC-OM4-12-A-MMU-MMA-1-REF,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
"NXC-AD-MTP-SC
 
 NEXCONEC","NEXCONEC MTP USCONEC ADAPTOR, KEY UP/KEY DOWN - MPO FOOTPRINT - NO FLANGE REQUIRED",Networks Centre BV,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,€20.51,Eaches,"NXC-AD-MTP-SC
 
 NEXCONEC",Networks Centre BV,"NXC-AD-MTP-SC
 
 NEXCONEC",,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
NXC-OM4-12-A-MMU-MMA-1-REF,"NEXCONEC MINI FIBRE SUPER ELITE MTP(M)/UPC-SUPER ELITE MTP(M)/APC 12F OM4 LSZH CPR CCA 3MM POLARITY A REFERENCE GRADE, 1 METRE",Networks Centre BV,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,€220.23,Eaches,NXC-OM4-12-A-MMU-MMA-1-REF,Networks Centre BV,NXC-OM4-12-A-MMU-MMA-1-REF,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
"NXC-AD-MTP-SC
 
 NEXCONEC","NEXCONEC MTP USCONEC ADAPTOR, KEY UP/KEY DOWN - MPO FOOTPRINT - NO FLANGE REQUIRED",Networks Centre BV,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,€20.51,Eaches,"NXC-AD-MTP-SC
 
 NEXCONEC",Networks Centre BV,"NXC-AD-MTP-SC
 
 NEXCONEC",,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
NXC-OM4-12-A-MMU-MMA-1-RE ,"NXC-OM4-12-A-MMU-MMA-1-RE NEXCONEC MINI FIBRE SUPER ELITE MTP(M)/UPC-SUPER ELITE MTP(M)/APC 12F OM4 LSZH CPR CCA 3MM POLARITY A REFERENCE GRADE, 1 METR",Networks Centre Ltd,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,€194.73,Eaches,NXC-OM4-12-A-MMU-MMA-1-RE ,Networks Centre Ltd,NXC-OM4-12-A-MMU-MMA-1-RE ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
NXC-AD-MTP-SC ,NEXCONEC MTP USCONEC,Networks Centre Ltd,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,€17.77,Eaches,NXC-AD-MTP-SC ,Networks Centre Ltd,NXC-AD-MTP-SC ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
PT-UTP28X2M,"CAT 6A 28AWG UTP PATCH CORD, CM/LSZH, OFF WHITE, 2",Networks Centre BV,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,€9.54,Eaches,PT-UTP28X2M,Networks Centre BV,PT-UTP28X2M,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
8M-12FM3-PFF-APC-B-K8-LZ ,8M-12FM3-PFF-APC-B-K8-LZ OM3 12F MTP F-F LSZH APC Type B 8M - Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,€588.74,Eaches,8M-12FM3-PFF-APC-B-K8-LZ ,Proficium Inc.,8M-12FM3-PFF-APC-B-K8-LZ ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
9M-12FM3-PFF-APC-B-K8-LZ ,9M-12FM3-PFF-APC-B-K8-LZ OM3 12F MTP F-F LSZH APC Type B 9M - Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,€619.75,Eaches,9M-12FM3-PFF-APC-B-K8-LZ ,Proficium Inc.,9M-12FM3-PFF-APC-B-K8-LZ ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
10M-12FM3-PFF-APC-B-K8-LZ,10M-12FM3-PFF-APC-B-K8-LZ OM3 12F MTP F-F LSZH APC Type B 10M - Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,€676.50,Eaches,10M-12FM3-PFF-APC-B-K8-LZ,Proficium Inc.,10M-12FM3-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
11M-12FM3-PFF-APC-B-K8-LZ,11M-12FM3-PFF-APC-B-K8-LZ OM3 12F MTP F-F LSZH APC Type B 11M - Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,€708.97,Eaches,11M-12FM3-PFF-APC-B-K8-LZ,Proficium Inc.,11M-12FM3-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
12M-12FM3-PFF-APC-B-K8-LZ,12M-12FM3-PFF-APC-B-K8-LZ OM3 12F MTP F-F LSZH APC Type B 12M - Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,€741.45,Eaches,12M-12FM3-PFF-APC-B-K8-LZ,Proficium Inc.,12M-12FM3-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
15M-12FM3-PFF-APC-B-K8-LZ,15M-12FM3-PFF-APC-B-K8-LZ OM3 12F MTP F-F LSZH APC Type B 15M - Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,€838.85,Eaches,15M-12FM3-PFF-APC-B-K8-LZ,Proficium Inc.,15M-12FM3-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
20M-12FM3-PFF-APC-B-K8-LZ,20M-12FM3-PFF-APC-B-K8-LZ OM3 12F MTP F-F LSZH APC Type B 20M - Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,€981.76,Eaches,20M-12FM3-PFF-APC-B-K8-LZ,Proficium Inc.,20M-12FM3-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
25M-12FM3-PFF-APC-B-K8-LZ,25M-12FM3-PFF-APC-B-K8-LZ OM3 12F MTP F-F LSZH APC Type B 25M - Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,"€1,134.54",Eaches,25M-12FM3-PFF-APC-B-K8-LZ,Proficium Inc.,25M-12FM3-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
30M-12FM3-PFF-APC-B-K8-LZ,30M-12FM3-PFF-APC-B-K8-LZ OM3 12F MTP F-F LSZH APC Type B 30M - Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,"€1,273.22",Eaches,30M-12FM3-PFF-APC-B-K8-LZ,Proficium Inc.,30M-12FM3-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
35M-12FM3-PFF-APC-B-K8-LZ, OM3 12F MTP F-F LSZH APC Type B 35M - Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,"$1,571.00",Eaches,35M-12FM3-PFF-APC-B-K8-LZ,Proficium Inc.,35M-12FM3-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
40M-12FM3-PFF-APC-B-K8-LZ,40M-12FM3-PFF-APC-B-K8-LZ OM3 12F MTP F-F LSZH APC Type B 30M - Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,"$2,559.35",Eaches,40M-12FM3-PFF-APC-B-K8-LZ,Proficium Inc.,40M-12FM3-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
45M-12FM3-PFF-APC-B-K8-LZ,45M-12FM3-PFF-APC-B-K8-LZ OM3 12F MTP F-F LSZH APC Type B 30M - Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,"$2,830.00",Eaches,45M-12FM3-PFF-APC-B-K8-LZ,Proficium Inc.,45M-12FM3-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
35M-12FM4-PFF-APC-B-K8-LZ,35M-12FM4-PFF-APC-B-K8-LZ OM4 12F MTP F-F LSZH APC Type B 35M - Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,"€1,867.16",Eaches,35M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,35M-12FM4-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
45M-12FM3-PFF-APC-B-K8-LZ,35M-12FM4-PFF-APC-B-K8-LZ OM4 12F MTP F-F LSZH APC Type B 35M - Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,"€1,867.16",Eaches,35M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,35M-12FM4-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
50M-12FM3-PFF-APC-B-K8-LZ,OM3 12F MTP F-F LSZH APC Type B 50M Bundles of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,"$3,101.28",Eaches,75M-12FM3-PFF-APC-B-K8-LZ,Proficium Inc.,75M-12FM3-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
75M-12FM3-PFF-APC-B-K8-LZ,75M-12FM4-PFF-APC-B-K8-LZ OM4 12F MTP F-F LSZH APC Type B 35M - Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,,Eaches,75M-12FM3-PFF-APC-B-K8-LZ,Proficium Inc.,75M-12FM3-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
40M-12FM4-PFF-APC-B-K8-LZ,40M-12FM4-PFF-APC-B-K8-LZ OM4 12F MTP F-F LSZH APC Type B 40M - Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,"€2,073.44",Eaches,40M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,40M-12FM4-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
45M-12FM4-PFF-APC-B-K8-LZ,45M-12FM4-PFF-APC-B-K8-LZ OM4 12F MTP F-F LSZH APC Type B 45M - Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,"€2,299.57",Eaches,45M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,45M-12FM4-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
50M-12FM4-PFF-APC-B-K8-LZ,50M-12FM4-PFF-APC-B-K8-LZ OM4 12F MTP F-F LSZH APC Type B 50M - Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,"€2,512.49",Eaches,50M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,50M-12FM4-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
55M-12FM4-PFF-APC-B-K8-LZ,55M-12FM4-PFF-APC-B-K8-LZ OM4 12F MTP F-F LSZH APC Type B 55M - Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,"€2,732.80",Eaches,55M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,55M-12FM4-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
60M-12FM4-PFF-APC-B-K8-LZ,60M-12FM4-PFF-APC-B-K8-LZ OM4 12F MTP F-F LSZH APC Type B 60M - Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,"€2,950.85",Eaches,60M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,60M-12FM4-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
65M-12FM4-PFF-APC-B-K8-LZ,65M-12FM4-PFF-APC-B-K8-LZ OM4 12F MTP F-F LSZH APC Type B 65M - Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,"€3,168.90",Eaches,65M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,65M-12FM4-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
70M-12FM4-PFF-APC-B-K8-LZ,70M-12FM4-PFF-APC-B-K8-LZ OM4 12F MTP F-F LSZH APC Type B 70M - Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,"€3,388.69",Eaches,70M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,70M-12FM4-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
75M-12FM4-PFF-APC-B-K8-LZ,75M-12FM4-PFF-APC-B-K8-LZ OM4 12F MTP F-F LSZH APC Type B 75M - Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,"€3,608.40",Eaches,75M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,75M-12FM4-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
70M-12FM4-PFF-APC-B-K8-LZ,OM4 12F MTP F-F LSZH APC Type 70M Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,"$2,245.65",Eaches,70M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,70M-12FM4-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
60M-12FM4-PFF-APC-B-K8-LZ,OM4 12F MTP F-F LSZH APC Type 60M Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,"$1,857.73",Eaches,60M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,60M-12FM4-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
55M-12FM4-PFF-APC-B-K8-LZ,OM4 12F MTP F-F LSZH APC Type 55M Bundle of (8) in Blue Mesh,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,"$1,720.45",Eaches,55M-12FM4-PFF-APC-B-K8-LZ,Proficium Inc.,55M-12FM4-PFF-APC-B-K8-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
3M-12FSM-PFF-B-LZ,OS2 12F MTP F-F LSZH Type B 3M,Proficium Inc.,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,$138.43,Eaches,3M-12FSM-PFF-B-LZ,Proficium Inc.,3M-12FSM-PFF-B-LZ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MiNo6A-2M,CommScope MiNo6A Patch Lead - Cat6A U/UTP Slimline White - 2m,ITM Communications Limited,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,£16.63,Eaches,MiNo6A-2M,ITM Communications Limited,MiNo6A-2M,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MiNo6A-3M,CommScope MiNo6A Patch Lead - Cat6A U/UTP Slimline White - 3m,ITM Communications Limited,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,£19.70,Eaches,MiNo6A-3M,ITM Communications Limited,MiNo6A-3M,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MiNo6A-4M,CommScope MiNo6A Patch Lead - Cat6A U/UTP Slimline White - 4m,ITM Communications Limited,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,£22.80,Eaches,MiNo6A-4M,ITM Communications Limited,MiNo6A-4M,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MiNo6A-5M,CommScope MiNo6A Patch Lead - Cat6A U/UTP Slimline White - 5m,ITM Communications Limited,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,£25.94,Eaches,MiNo6A-5M,ITM Communications Limited,MiNo6A-5M,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MiNo6A-7M,CommScope MiNo6A Patch Lead - Cat6A U/UTP Slimline White - 7m,ITM Communications Limited,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,£32.16,Eaches,MiNo6A-7M,ITM Communications Limited,MiNo6A-7M,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
PT-UTP28X1M," CAT 6A 28AWG UTP PATCH CORD, CM/LSZH, OFF WHITE, 1M",Networks Centre BV,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,€8.87,Eaches,PT-UTP28X1M,Networks Centre BV,PT-UTP28X1M,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
PT-UTP28X2M," CAT 6A 28AWG UTP PATCH CORD, CM/LSZH, OFF WHITE, 2M",Networks Centre BV,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,€9.20,Eaches,PT-UTP28X2M,Networks Centre BV,PT-UTP28X2M,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
PT-UTP28X3M,"CAT 6A 28AWG UTP PATCH CORD, CM/LSZH, OFF WHITE, 3 METER",Networks Centre BV,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,€10.31,Eaches,PT-UTP28X2M,Networks Centre BV,PT-UTP28X2M,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
P-SM6836,"Advanced Smart PDU
60A- 3PH - 10ft Cord - PDU - New in Box
* 43.5kW @ 400V 63A
* Metered by input with Outlet Switching
* 36 Outlets - (18) C13
* C39 outlets (18x) - New OLED screen
* IEC 60309 3P+N+PE
* 10/100/1000 Base-T",Global 1,PDUs,Jon Merendino,Jon Merendino,Inventory,No,"$2,180.00",Eaches,P-SM6836,Global 1,P-SM6836,,,,,,,,,,,,,,Average,UPS-PDUs,144502,,,,,,,,,,,,
1.5MT-8F-SM-A1-LSZH-11-11-B-YLW," CAT 6A 28AWG UTP PATCH CORD, CM/LSZH, OFF WHITE, 1M",C-Connex LLC,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No, $ 32.00 ,Eaches,1.5MT-8F-SM-A1-LSZH-11-11-B-YLW,C-Connex LLC,1.5MT-8F-SM-A1-LSZH-11-11-B-YLW,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
027250126 ,027250126 LATIG. RJ45-RJ45 UTP 2 MT CAT.6A,"CABLES Y COMPONENTES ELÉCTRICOS, S.A.",Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,$1.95,Eaches,027250126 ,"CABLES Y COMPONENTES ELÉCTRICOS, S.A.",027250126 ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
027250136 ,027250136 LATIG. RJ45-RJ45 UTP 3 MT CAT.6A,"CABLES Y COMPONENTES ELÉCTRICOS, S.A.",Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,$2.33,Eaches,027250136 ,"CABLES Y COMPONENTES ELÉCTRICOS, S.A.",027250136 ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
027250146 ,027250146 LATIG. RJ45-RJ45 UTP 5 MT CAT.6A,"CABLES Y COMPONENTES ELÉCTRICOS, S.A.",Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,$3.37,Eaches,027250146 ,"CABLES Y COMPONENTES ELÉCTRICOS, S.A.",027250146 ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
027250117 ,027250117 LATIG. RJ45-RJ45 UTP 7 MT CAT.6A,"CABLES Y COMPONENTES ELÉCTRICOS, S.A.",Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,$4.36,Eaches,027250117 ,"CABLES Y COMPONENTES ELÉCTRICOS, S.A.",027250117 ,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MCP-290-00186-0N,"GP801/802/802D1/438G Static Rail set support 28.5-33.7 inch,",Super Micro Computer Inc.,Consumables and Misc.,Sekou Sako,Sekou Sako,Inventory,No,$76.50,Eaches,MCP-290-00186-0N,Super Micro Computer Inc.,MCP-290-00186-0N,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
8DG62423AB,"CV1RU4P 1RU Cover Kit (19"" 4 post) - PSC1-6, MSH4FSB, MLFSB, etc ",Nokia UK Limited,Consumables and Misc.,Sekou Sako,Sekou Sako,Inventory,No,£86.20,Eaches,8DG62423AB,Nokia UK Limited,8DG62423AB,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
M402-EFEF-12CCA-PC-010-B,MTP (female) – MTP (female) Singlemode G657.A1 (9/125) 12 fibre micro core (3.0mm) single sheath cable - Polarity B; Total Length – 10m; MTP ELITE connectors,Sycomp UK Limited,Cabling,Alejandro Parra Bernal,Alejandro Parra Bernal,Inventory,No,£119.97,Eaches,M402-EFEF-12CCA-PC-010-B,Sycomp UK Limited,M402-EFEF-12CCA-PC-010-B,,,,,,,,,,,,,,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
